anode outlet pressure 1,anode outlet pressure 2,cathode outlet pressure 1,cathode outlet pressure 2, current,anode reactant flow,anode inlet pressure 1,anode inlet pressure 2,cathode air inlet flow, cathode inlet pressure 1,cathode stoichiometry,cathode outlet temperature 2,cathode inlet temperature 2,cathode outlet temperature 1,cathode inlet temperature 1,primary water inlet pressure 2,primary water inlet pressure 1,primary water inlet flow 2,primary water inlet flow 1,water inlet temperature,flag
0,0,700,700,106,284,1792,1784,1680,1252,2.48,75,46,75,46,2040,2008,816,816,30,0
0,0,700,700,0,0,1000,1012,8,1008,0.0,37,45,38,45,996,1000,0,0,33,1
0,0,700,700,106,283,1792,1792,1688,1252,2.49,74,46,75,46,2040,2008,814,816,29,0
0,0,700,700,26,71,1780,1776,1688,1240,9.99,56,45,56,45,1916,1868,810,810,36,1
0,0,700,700,106,283,1792,1792,1680,1252,2.48,75,46,75,47,2040,2008,816,814,29,0
0,0,700,700,106,283,1792,1784,1688,1252,2.5,74,46,75,46,2044,2008,814,814,29,0
0,0,700,700,106,283,1788,1784,1684,1252,2.49,75,46,75,46,2040,2004,814,814,30,0
0,0,700,700,106,283,1792,1788,1684,1252,2.49,74,46,75,46,2040,2008,814,816,29,0
0,0,700,700,0,0,992,1004,8,1008,0.0,38,46,39,46,992,1000,0,0,33,1
0,0,700,700,106,284,1792,1788,1684,1252,2.49,75,46,75,47,2040,2004,814,818,29,0
0,0,700,700,0,0,996,996,8,1008,0.0,38,49,38,47,996,1000,0,0,33,1
0,0,700,700,106,283,1792,1788,1692,1252,2.5,75,46,75,46,2044,2008,814,814,29,0
0,0,700,700,0,0,1788,1780,16,1008,0.0,31,50,34,53,1004,1012,0,0,33,1
0,0,700,700,106,283,1792,1788,1688,1252,2.5,75,46,75,47,2040,2008,816,816,29,0
0,0,700,700,106,283,1792,1788,1680,1248,2.49,74,46,75,46,2048,2012,814,814,29,0
0,0,700,700,106,283,1792,1788,1676,1252,2.48,74,46,75,47,2044,2008,814,816,29,0
0,0,700,700,106,283,1792,1788,1680,1252,2.48,75,46,75,46,2040,2004,816,814,30,0
0,0,700,700,106,283,1792,1788,1692,1252,2.5,74,46,75,47,2044,2004,816,816,29,0
0,0,700,700,106,284,1792,1788,1688,1252,2.49,74,46,75,47,2040,2008,814,812,29,0
0,0,700,700,106,283,1792,1788,1680,1248,2.49,74,46,75,46,2036,2004,814,810,30,0
0,0,700,700,0,0,992,1004,8,1008,0.0,38,46,39,46,992,1000,0,0,33,1
0,0,700,700,106,283,1792,1784,1688,1252,2.5,75,46,75,47,2040,2004,814,814,29,0
0,0,700,700,0,0,1784,1780,28,1008,0.0,28,53,31,51,1004,1016,0,0,33,1
0,0,700,700,105,282,1776,1776,1700,1256,2.53,75,45,75,46,1940,1912,822,822,37,1
